red,green,blue,ambient,width,label
637.50,394.60,381.10,351.60,28,ripe
637.70,394.70,381.60,352.10,28,ripe
638.10,395.00,381.80,352.30,28,ripe
638.00,394.60,381.00,351.50,28,ripe
637.50,394.40,380.40,351.30,28,ripe
637.10,393.90,380.70,351.40,28,ripe
637.70,394.50,380.90,351.70,28,ripe
637.70,394.90,382.00,353.70,28,ripe
638.70,396.40,383.00,353.90,28,ripe
638.80,396.40,382.50,353.60,28,ripe
638.60,396.40,382.90,353.50,28,ripe
638.70,396.50,382.90,354.20,28,ripe
639.10,396.70,383.80,354.70,28,ripe
639.10,397.10,383.40,353.70,28,ripe
639.10,396.60,383.30,354.20,28,ripe
639.00,396.60,383.40,354.00,28,ripe
639.00,397.20,384.00,354.70,28,ripe
639.40,397.60,384.00,355.10,28,ripe
639.60,398.20,385.10,355.80,28,ripe
639.90,398.10,384.60,355.30,28,ripe
639.80,398.20,384.60,355.70,28,ripe
639.60,397.70,384.40,355.40,28,ripe
639.80,397.80,384.60,355.80,28,ripe
640.10,398.40,385.40,356.00,28,ripe
640.20,398.30,384.90,356.20,28,ripe
640.40,398.50,385.00,355.60,28,ripe
640.10,398.50,385.40,356.50,28,ripe
640.30,399.40,385.70,356.80,28,ripe
640.40,399.10,386.10,357.60,28,ripe
640.60,399.10,386.00,357.10,28,ripe
640.70,399.80,386.00,356.40,28,ripe
640.40,399.00,385.80,356.70,28,ripe
640.50,399.60,386.40,357.20,28,ripe
640.60,399.40,385.50,356.60,28,ripe
640.20,399.30,386.30,356.80,28,ripe
640.50,399.60,385.80,357.40,28,ripe
640.90,399.80,386.50,357.20,28,ripe
640.90,400.40,386.80,357.90,28,ripe
641.20,400.40,387.30,358.20,28,ripe
641.20,400.40,387.50,358.50,28,ripe
641.50,400.40,387.60,358.70,28,ripe
641.80,401.20,387.80,358.60,28,ripe
641.60,400.90,387.80,358.90,28,ripe
641.40,401.00,387.60,358.90,28,ripe
641.60,401.10,387.60,358.60,28,ripe
641.60,401.00,388.00,358.70,28,ripe
641.30,401.00,387.70,358.70,28,ripe
641.60,400.30,387.20,358.20,28,ripe
641.40,400.90,388.00,358.90,28,ripe
641.90,401.30,388.10,359.10,28,ripe
642.00,401.40,388.20,359.60,28,ripe
642.20,401.20,387.90,358.60,28,ripe
641.00,397.70,382.20,349.50,28,ripe
629.00,370.80,346.30,304.90,28,ripe
608.70,338.70,323.80,289.60,28,ripe
592.90,339.80,328.30,304.20,28,ripe
603.10,360.30,347.90,330.20,28,ripe
620.40,391.00,379.80,352.50,28,ripe
626.30,394.50,382.00,354.50,28,ripe
628.10,397.30,384.70,356.80,28,ripe
629.20,397.20,384.30,356.60,28,ripe
628.90,397.20,384.20,356.90,28,ripe
629.50,398.20,384.90,357.40,28,ripe
629.30,397.80,384.60,356.20,28,ripe
628.20,395.50,382.00,354.00,28,ripe
627.40,394.30,381.40,353.70,28,ripe
627.00,394.90,382.10,354.10,28,ripe
627.40,394.80,381.80,354.60,28,ripe
627.70,394.60,381.90,354.10,28,ripe
627.80,395.40,382.40,354.30,28,ripe
628.00,395.70,382.70,355.10,28,ripe
628.40,396.00,382.80,355.10,28,ripe
628.50,396.10,382.90,355.20,28,ripe
628.50,396.30,383.30,355.50,28,ripe
628.40,396.20,383.80,356.00,28,ripe
628.90,396.70,383.90,356.00,28,ripe
628.90,397.10,383.80,356.50,28,ripe
628.80,396.20,383.30,355.20,28,ripe
628.60,396.30,383.40,356.90,28,ripe
629.50,398.00,385.30,358.10,28,ripe
630.20,398.50,385.30,358.10,28,ripe
630.20,398.70,386.00,358.50,28,ripe
630.40,398.70,385.90,358.50,28,ripe
630.30,399.10,386.20,358.60,28,ripe
630.40,399.50,386.50,358.90,28,ripe
630.40,399.10,386.50,359.60,28,ripe
631.10,400.40,387.50,360.30,28,ripe
631.30,400.60,387.70,359.80,28,ripe
630.50,398.10,384.50,356.70,28,ripe
629.30,397.30,384.20,356.10,28,ripe
628.80,396.20,383.20,355.10,28,ripe
628.70,396.70,383.50,355.80,28,ripe
628.70,396.70,383.70,356.10,28,ripe
629.20,396.80,383.60,355.90,28,ripe
629.10,397.00,383.60,355.90,28,ripe
628.60,396.40,383.30,355.20,28,ripe
628.60,396.60,383.90,356.60,28,ripe
629.20,397.70,384.90,357.10,28,ripe
629.70,397.90,384.50,356.70,28,ripe
629.20,397.00,384.40,356.70,28,ripe
629.30,397.20,383.70,355.20,28,ripe
627.50,393.30,379.30,350.80,28,ripe
625.40,390.50,378.50,352.90,28,ripe
628.60,398.20,385.30,357.70,28,ripe
629.30,398.00,385.20,357.70,28,ripe
630.20,398.70,385.40,358.30,28,ripe
630.40,399.20,385.90,358.40,28,ripe
629.70,399.00,386.00,358.00,28,ripe
629.20,355.90,282.20,248.00,28,ripe
588.10,364.90,368.50,370.40,28,ripe
638.90,420.20,411.00,385.50,28,ripe
645.60,425.40,414.20,388.30,28,ripe
647.60,427.10,415.50,389.20,28,ripe
648.40,427.20,415.60,389.30,28,ripe
648.70,427.40,415.60,389.30,28,ripe
647.00,425.90,414.80,388.30,28,ripe
647.40,426.30,414.80,388.40,28,ripe
648.60,427.30,415.80,389.50,28,ripe
