red,green,blue,label
501.40,417.40,405.00,ripe
496.30,410.30,404.10,ripe
494.90,420.70,411.00,ripe
511.80,420.60,414.00,ripe
503.30,421.40,412.60,ripe
483.10,406.10,396.80,ripe
447.50,400.20,405.00,ripe
515.50,448.70,465.20,ripe
595.20,528.20,523.70,ripe
616.00,555.80,552.80,ripe
631.90,571.90,567.40,ripe
634.60,574.80,571.20,ripe
636.30,569.60,567.00,ripe
634.80,548.60,528.90,ripe
582.20,479.90,466.80,ripe
573.90,514.70,476.10,ripe
501.00,421.80,429.00,ripe
470.70,394.30,395.50,ripe
479.50,409.50,418.60,ripe
506.00,426.30,430.80,ripe
516.50,403.80,408.30,ripe
512.70,430.70,422.40,ripe
522.80,432.90,433.50,ripe
537.30,459.10,464.30,ripe
556.30,471.70,455.00,ripe
529.30,435.40,413.00,ripe
507.30,422.60,411.30,ripe
487.00,416.80,401.60,ripe
523.50,427.50,409.10,ripe
494.80,430.50,437.40,ripe
562.70,406.70,396.60,ripe
533.10,478.00,488.00,ripe
571.20,511.80,516.30,ripe
612.90,534.50,524.10,ripe
598.80,509.40,488.40,ripe
548.00,478.70,474.90,ripe
545.30,475.30,466.40,ripe
504.10,442.50,433.80,ripe
481.50,419.50,407.50,ripe
463.10,407.70,397.00,ripe
445.60,396.40,388.10,ripe
431.90,398.10,401.20,ripe
448.60,416.30,413.80,ripe
466.60,412.50,408.10,ripe
489.60,413.70,405.40,ripe
487.20,421.80,425.20,ripe
497.30,427.60,424.20,ripe
505.00,428.10,417.80,ripe
469.50,409.30,400.00,ripe
453.60,398.20,389.90,ripe
433.20,374.60,376.20,ripe
458.60,377.40,362.90,ripe
412.40,350.40,337.20,ripe
379.90,341.20,348.40,ripe
466.10,399.00,393.30,ripe
468.00,402.40,391.10,ripe
467.10,393.70,379.40,ripe
436.30,390.80,388.30,ripe
461.70,421.60,421.00,ripe
481.00,427.20,420.40,ripe
470.30,419.60,420.60,ripe
507.20,435.30,422.30,ripe
481.10,425.60,420.80,ripe
487.90,427.20,420.40,ripe
500.50,426.60,421.80,ripe
467.80,385.70,375.70,ripe
441.30,374.20,362.80,ripe
416.50,360.40,351.00,ripe
384.90,353.10,352.60,ripe
416.30,374.60,375.10,ripe
446.80,394.40,395.60,ripe
482.40,421.70,422.80,ripe
509.20,433.50,429.90,ripe
515.00,439.20,422.50,ripe
445.70,379.50,371.10,ripe
434.00,372.60,367.30,ripe
432.00,377.20,369.70,ripe
414.20,365.20,357.70,ripe
413.00,345.10,335.40,ripe
403.50,354.40,350.00,ripe
414.10,361.40,353.30,ripe
401.90,358.30,357.20,ripe
444.20,378.20,390.40,ripe
474.70,413.10,410.90,ripe
525.00,443.40,443.30,ripe
542.80,458.30,434.80,ripe
523.60,424.60,411.60,ripe
444.90,363.60,348.80,ripe
397.20,323.00,305.30,ripe
404.20,355.50,353.30,ripe
389.90,348.30,340.90,ripe
